ID,State,Year,month,Unemployment,Employment
1,Alabama,2006,3,87830,2068505
2,Alaska,2006,3,23561,323717
3,Arizona,2006,3,128852,2808195
4,Arkansas,2006,3,69437,1275609
5,California,2006,3,865781,16730993
6,Los Angeles County,2006,3,233058,4571095
7,Colorado,2006,3,115173,2504897
8,Connecticut,2006,3,81204,1741020
9,Delaware,2006,3,17827,424429
10,District of Columbia,2006,3,19886,297973
11,Florida,2006,3,210766,8626543
12,Georgia,2006,3,241734,4430502
13,Hawaii,2006,3,17109,614874
14,Idaho,2006,3,27009,713742
15,Illinois,2006,3,310957,6152425
16,Indiana,2006,3,159588,3073794
17,Iowa,2006,3,60216,1588911
18,Kansas,2006,3,65525,1389076
19,Kentucky,2006,3,116869,1894196
20,Louisiana,2006,3,84829,1910602
21,Maine,2006,3,31888,666098
22,Maryland,2006,3,120096,2850446
23,Massachusetts,2006,3,159713,3235249
24,Michigan,2006,3,350738,4715647
25,Minnesota,2006,3,115372,2769722
26,Mississippi,2006,3,79890,1191197
27,Missouri,2006,3,145388,2873689
28,Montana,2006,3,16997,475078
29,Nebraska,2006,3,29912,938255
30,Nevada,2006,3,50760,1219558
31,New Hampshire,2006,3,24605,704087
32,New Jersey,2006,3,211547,4217367
33,New Mexico,2006,3,38990,871364
34,New York,2006,3,447854,9087985
35,New York city,2006,3,198616,3631926
36,North Carolina,2006,3,220245,4192361
37,North Dakota,2006,3,11151,348880
38,Ohio,2006,3,312712,5599950
39,Oklahoma,2006,3,65635,1642958
40,Oregon,2006,3,100780,1765028
41,Pennsylvania,2006,3,294022,5979608
42,Rhode Island,2006,3,30320,539718
43,South Carolina,2006,3,150502,1987777
44,South Dakota,2006,3,12791,417367
45,Tennessee,2006,3,162281,2814715
46,Texas,2006,3,588145,10683983
47,Utah,2006,3,41872,1274637
48,Vermont,2006,3,12396,341639
49,Virginia,2006,3,131620,3823250
50,Washington,2006,3,164031,3140073
51,West Virginia,2006,3,40254,761818
52,Wisconsin,2006,3,138439,2911405
53,Wyoming,2006,3,8522,273809
54,Alabama,2006,4,87911,2071802
55,Alaska,2006,4,23407,324533
56,Arizona,2006,4,129197,2818660
57,Arkansas,2006,4,70421,1275834
58,California,2006,4,864066,16745349
59,Los Angeles County,2006,4,231000,4569479
60,Colorado,2006,4,114905,2512768
61,Connecticut,2006,4,80887,1743960
62,Delaware,2006,4,17605,424748
63,District of Columbia,2006,4,20080,298467
64,Florida,2006,4,212231,8650938
65,Georgia,2006,4,241132,4441462
66,Hawaii,2006,4,17275,615623
67,Idaho,2006,4,26710,714784
68,Illinois,2006,4,302858,6171881
69,Indiana,2006,4,160219,3074689
70,Iowa,2006,4,59491,1592837
71,Kansas,2006,4,64876,1392614
72,Kentucky,2006,4,115642,1898114
73,Louisiana,2006,4,80227,1912614
74,Maine,2006,4,32045,666474
75,Maryland,2006,4,122472,2853647
76,Massachusetts,2006,4,160142,3238568
77,Michigan,2006,4,352707,4711722
78,Minnesota,2006,4,113763,2769949
79,Mississippi,2006,4,79501,1193090
80,Missouri,2006,4,145105,2877879
81,Montana,2006,4,16899,476780
82,Nebraska,2006,4,29401,939016
83,Nevada,2006,4,51671,1225043
84,New Hampshire,2006,4,24728,704706
85,New Jersey,2006,4,212320,4220226
86,New Mexico,2006,4,38841,872848
87,New York,2006,4,446317,9093660
88,New York city,2006,4,196359,3635415
89,North Carolina,2006,4,221035,4205992
90,North Dakota,2006,4,11189,349549
91,Ohio,2006,4,312717,5610899
92,Oklahoma,2006,4,65478,1643647
93,Oregon,2006,4,100195,1770303
94,Pennsylvania,2006,4,295662,5985668
95,Rhode Island,2006,4,30464,540218
96,South Carolina,2006,4,150822,1990230
97,South Dakota,2006,4,12655,417991
98,Tennessee,2006,4,164285,2828835
99,Texas,2006,4,589958,10704340
100,Utah,2006,4,40702,1280361
101,Vermont,2006,4,12582,341788
102,Virginia,2006,4,131077,3829433
103,Washington,2006,4,165067,3146142
104,West Virginia,2006,4,40813,762471
105,Wisconsin,2006,4,138326,2915742
106,Wyoming,2006,4,8392,274513
107,Alabama,2006,5,87973,2075386
108,Alaska,2006,5,23314,325248
109,Arizona,2006,5,129814,2828396
110,Arkansas,2006,5,71264,1275583
111,California,2006,5,864854,16757871
112,Los Angeles County,2006,5,230000,4564967
113,Colorado,2006,5,115259,2519556
114,Connecticut,2006,5,80832,1746106
115,Delaware,2006,5,17547,424936
116,District of Columbia,2006,5,20305,298941
117,Florida,2006,5,214476,8674278
118,Georgia,2006,5,241145,4452478
119,Hawaii,2006,5,17288,616564
120,Idaho,2006,5,26266,715861
121,Illinois,2006,5,296710,6191538
122,Indiana,2006,5,161852,3073913
123,Iowa,2006,5,59563,1595166
124,Kansas,2006,5,64585,1396157
125,Kentucky,2006,5,115210,1901829
126,Louisiana,2006,5,77838,1913803
127,Maine,2006,5,32487,666812
128,Maryland,2006,5,125567,2855605
129,Massachusetts,2006,5,160969,3242339
130,Michigan,2006,5,355061,4706902
131,Minnesota,2006,5,112780,2769759
132,Mississippi,2006,5,79716,1195081
133,Missouri,2006,5,146013,2882003
134,Montana,2006,5,16872,478285
135,Nebraska,2006,5,29296,939813
136,Nevada,2006,5,52470,1230505
137,New Hampshire,2006,5,25046,705339
138,New Jersey,2006,5,212770,4222693
139,New Mexico,2006,5,39047,874072
140,New York,2006,5,444317,9093999
141,New York city,2006,5,194009,3636814
142,North Carolina,2006,5,223862,4217778
143,North Dakota,2006,5,11226,350121
144,Ohio,2006,5,315412,5621439
145,Oklahoma,2006,5,65707,1644742
146,Oregon,2006,5,100287,1774854
147,Pennsylvania,2006,5,298537,5990267
148,Rhode Island,2006,5,30561,540727
149,South Carolina,2006,5,150946,1992605
150,South Dakota,2006,5,12693,418628
151,Tennessee,2006,5,166091,2842377
152,Texas,2006,5,590193,10726117
153,Utah,2006,5,39497,1286032
154,Vermont,2006,5,12851,341898
155,Virginia,2006,5,131560,3834431
156,Washington,2006,5,166814,3152061
157,West Virginia,2006,5,41669,762671
158,Wisconsin,2006,5,139403,2919686
159,Wyoming,2006,5,8388,275179
