State/Area,Year,Month,Total Unemployment in State/Area,Total Employment in State/Area,Total Civilian Labor Force in State/Area,Total Civilian Non-Institutional Population in State/Area
Alabama,2006,3,"87,830   ","2,068,505   ","2,156,335   ","3,510,348   "
Alaska,2006,3,"23,561   ","323,717   ","347,278   ","487,558   "
Arizona,2006,3,"128,852   ","2,808,195   ","2,937,047   ","4,587,109   "
Arkansas,2006,3,"69,437   ","1,275,609   ","1,345,046   ","2,134,861   "
California,2006,3,"865,781   ","16,730,993   ","17,596,774   ","26,956,842   "
Los Angeles County,2006,3,"233,058   ","4,571,095   ","4,804,153   ","7,373,136   "
Colorado,2006,3,"115,173   ","2,504,897   ","2,620,070   ","3,601,065   "
Connecticut,2006,3,"81,204   ","1,741,020   ","1,822,224   ","2,690,127   "
Delaware,2006,3,"17,827   ","424,429   ","442,256   ","654,229   "
District of Columbia,2006,3,"19,886   ","297,973   ","317,859   ","469,395   "
Florida,2006,3,"210,766   ","8,626,543   ","8,837,309   ","14,102,496   "
Georgia,2006,3,"241,734   ","4,430,502   ","4,672,236   ","6,868,440   "
Hawaii,2006,3,"17,109   ","614,874   ","631,983   ","958,572   "
Idaho,2006,3,"27,009   ","713,742   ","740,751   ","1,077,916   "
Illinois,2006,3,"310,957   ","6,152,425   ","6,463,382   ","9,659,302   "
Indiana,2006,3,"159,588   ","3,073,794   ","3,233,382   ","4,784,419   "
Iowa,2006,3,"60,216   ","1,588,911   ","1,649,127   ","2,286,724   "
Kansas,2006,3,"65,525   ","1,389,076   ","1,454,601   ","2,076,427   "
Kentucky,2006,3,"116,869   ","1,894,196   ","2,011,065   ","3,235,660   "
Louisiana,2006,3,"84,829   ","1,910,602   ","1,995,431   ","3,174,981   "
Maine,2006,3,"31,888   ","666,098   ","697,986   ","1,048,785   "
Maryland,2006,3,"120,096   ","2,850,446   ","2,970,542   ","4,284,856   "
Massachusetts,2006,3,"159,713   ","3,235,249   ","3,394,962   ","5,084,043   "
Michigan,2006,3,"350,738   ","4,715,647   ","5,066,385   ","7,759,212   "
Minnesota,2006,3,"115,372   ","2,769,722   ","2,885,094   ","3,959,476   "
Mississippi,2006,3,"79,890   ","1,191,197   ","1,271,087   ","2,134,966   "
Missouri,2006,3,"145,388   ","2,873,689   ","3,019,077   ","4,473,367   "
Montana,2006,3,"16,997   ","475,078   ","492,075   ","736,318   "
Nebraska,2006,3,"29,912   ","938,255   ","968,167   ","1,331,045   "
Nevada,2006,3,"50,760   ","1,219,558   ","1,270,318   ","1,866,056   "
New Hampshire,2006,3,"24,605   ","704,087   ","728,692   ","1,028,953   "
New Jersey,2006,3,"211,547   ","4,217,367   ","4,428,914   ","6,652,747   "
New Mexico,2006,3,"38,990   ","871,364   ","910,354   ","1,455,737   "
New York,2006,3,"447,854   ","9,087,985   ","9,535,839   ","15,079,345   "
New York city,2006,3,"198,616   ","3,631,926   ","3,830,542   ","6,453,511   "
North Carolina,2006,3,"220,245   ","4,192,361   ","4,412,606   ","6,677,429   "
North Dakota,2006,3,"11,151   ","348,880   ","360,031   ","493,276   "
Ohio,2006,3,"312,712   ","5,599,950   ","5,912,662   ","8,848,684   "
Oklahoma,2006,3,"65,635   ","1,642,958   ","1,708,593   ","2,681,324   "
Oregon,2006,3,"100,780   ","1,765,028   ","1,865,808   ","2,861,501   "
Pennsylvania,2006,3,"294,022   ","5,979,608   ","6,273,630   ","9,750,419   "
Rhode Island,2006,3,"30,320   ","539,718   ","570,038   ","837,636   "
South Carolina,2006,3,"150,502   ","1,987,777   ","2,138,279   ","3,285,071   "
South Dakota,2006,3,"12,791   ","417,367   ","430,158   ","594,965   "
Tennessee,2006,3,"162,281   ","2,814,715   ","2,976,996   ","4,670,063   "
Texas,2006,3,"588,145   ","10,683,983   ","11,272,128   ","16,856,023   "
Utah,2006,3,"41,872   ","1,274,637   ","1,316,509   ","1,818,717   "
Vermont,2006,3,"12,396   ","341,639   ","354,035   ","498,398   "
Virginia,2006,3,"131,620   ","3,823,250   ","3,954,870   ","5,767,386   "
Washington,2006,3,"164,031   ","3,140,073   ","3,304,104   ","4,888,004   "
West Virginia,2006,3,"40,254   ","761,818   ","802,072   ","1,438,683   "
Wisconsin,2006,3,"138,439   ","2,911,405   ","3,049,844   ","4,313,453   "
Wyoming,2006,3,"8,522   ","273,809   ","282,331   ","394,067   "
Alabama,2006,4,"87,911   ","2,071,802   ","2,159,713   ","3,513,803   "
Alaska,2006,4,"23,407   ","324,533   ","347,940   ","488,418   "
Arizona,2006,4,"129,197   ","2,818,660   ","2,947,857   ","4,599,748   "
Arkansas,2006,4,"70,421   ","1,275,834   ","1,346,255   ","2,137,212   "
California,2006,4,"864,066   ","16,745,349   ","17,609,415   ","26,966,975   "
Los Angeles County,2006,4,"231,000   ","4,569,479   ","4,800,479   ","7,374,003   "
Colorado,2006,4,"114,905   ","2,512,768   ","2,627,673   ","3,606,595   "
Connecticut,2006,4,"80,887   ","1,743,960   ","1,824,847   ","2,690,984   "
Delaware,2006,4,"17,605   ","424,748   ","442,353   ","655,160   "
District of Columbia,2006,4,"20,080   ","298,467   ","318,547   ","469,569   "
Florida,2006,4,"212,231   ","8,650,938   ","8,863,169   ","14,120,197   "
Georgia,2006,4,"241,132   ","4,441,462   ","4,682,594   ","6,881,073   "
Hawaii,2006,4,"17,275   ","615,623   ","632,898   ","959,152   "
Idaho,2006,4,"26,710   ","714,784   ","741,494   ","1,080,272   "
Illinois,2006,4,"302,858   ","6,171,881   ","6,474,739   ","9,662,467   "
Indiana,2006,4,"160,219   ","3,074,689   ","3,234,908   ","4,787,349   "
Iowa,2006,4,"59,491   ","1,592,837   ","1,652,328   ","2,287,744   "
Kansas,2006,4,"64,876   ","1,392,614   ","1,457,490   ","2,076,998   "
Kentucky,2006,4,"115,642   ","1,898,114   ","2,013,756   ","3,238,700   "
Louisiana,2006,4,"80,227   ","1,912,614   ","1,992,841   ","3,180,290   "
Maine,2006,4,"32,045   ","666,474   ","698,519   ","1,049,273   "
Maryland,2006,4,"122,472   ","2,853,647   ","2,976,119   ","4,287,265   "
Massachusetts,2006,4,"160,142   ","3,238,568   ","3,398,710   ","5,085,460   "
Michigan,2006,4,"352,707   ","4,711,722   ","5,064,429   ","7,760,312   "
Minnesota,2006,4,"113,763   ","2,769,949   ","2,883,712   ","3,962,617   "
Mississippi,2006,4,"79,501   ","1,193,090   ","1,272,591   ","2,140,074   "
Missouri,2006,4,"145,105   ","2,877,879   ","3,022,984   ","4,477,206   "
Montana,2006,4,"16,899   ","476,780   ","493,679   ","737,179   "
Nebraska,2006,4,"29,401   ","939,016   ","968,417   ","1,331,622   "
Nevada,2006,4,"51,671   ","1,225,043   ","1,276,714   ","1,871,057   "
New Hampshire,2006,4,"24,728   ","704,706   ","729,434   ","1,029,936   "
New Jersey,2006,4,"212,320   ","4,220,226   ","4,432,546   ","6,653,203   "
New Mexico,2006,4,"38,841   ","872,848   ","911,689   ","1,457,199   "
New York,2006,4,"446,317   ","9,093,660   ","9,539,977   ","15,082,831   "
New York city,2006,4,"196,359   ","3,635,415   ","3,831,774   ","6,457,939   "
North Carolina,2006,4,"221,035   ","4,205,992   ","4,427,027   ","6,689,030   "
North Dakota,2006,4,"11,189   ","349,549   ","360,738   ","493,406   "
Ohio,2006,4,"312,717   ","5,610,899   ","5,923,616   ","8,850,579   "
Oklahoma,2006,4,"65,478   ","1,643,647   ","1,709,125   ","2,683,861   "
Oregon,2006,4,"100,195   ","1,770,303   ","1,870,498   ","2,865,540   "
Pennsylvania,2006,4,"295,662   ","5,985,668   ","6,281,330   ","9,754,252   "
Rhode Island,2006,4,"30,464   ","540,218   ","570,682   ","837,492   "
South Carolina,2006,4,"150,822   ","1,990,230   ","2,141,052   ","3,290,670   "
South Dakota,2006,4,"12,655   ","417,991   ","430,646   ","595,529   "
Tennessee,2006,4,"164,285   ","2,828,835   ","2,993,120   ","4,676,556   "
Texas,2006,4,"589,958   ","10,704,340   ","11,294,298   ","16,903,616   "
Utah,2006,4,"40,702   ","1,280,361   ","1,321,063   ","1,823,477   "
Vermont,2006,4,"12,582   ","341,788   ","354,370   ","498,663   "
Virginia,2006,4,"131,077   ","3,829,433   ","3,960,510   ","5,773,199   "
Washington,2006,4,"165,067   ","3,146,142   ","3,311,209   ","4,895,740   "
West Virginia,2006,4,"40,813   ","762,471   ","803,284   ","1,438,942   "
Wisconsin,2006,4,"138,326   ","2,915,742   ","3,054,068   ","4,316,003   "
Wyoming,2006,4,"8,392   ","274,513   ","282,905   ","394,526   "
Alabama,2006,5,"87,973   ","2,075,386   ","2,163,359   ","3,517,270   "
Alaska,2006,5,"23,314   ","325,248   ","348,562   ","489,223   "
Arizona,2006,5,"129,814   ","2,828,396   ","2,958,210   ","4,612,292   "
Arkansas,2006,5,"71,264   ","1,275,583   ","1,346,847   ","2,139,601   "
California,2006,5,"864,854   ","16,757,871   ","17,622,725   ","26,975,501   "
Los Angeles County,2006,5,"230,000   ","4,564,967   ","4,794,967   ","7,374,553   "
Colorado,2006,5,"115,259   ","2,519,556   ","2,634,815   ","3,612,117   "
Connecticut,2006,5,"80,832   ","1,746,106   ","1,826,938   ","2,691,896   "
Delaware,2006,5,"17,547   ","424,936   ","442,483   ","656,124   "
District of Columbia,2006,5,"20,305   ","298,941   ","319,246   ","469,711   "
Florida,2006,5,"214,476   ","8,674,278   ","8,888,754   ","14,138,018   "
Georgia,2006,5,"241,145   ","4,452,478   ","4,693,623   ","6,893,679   "
Hawaii,2006,5,"17,288   ","616,564   ","633,852   ","959,626   "
Idaho,2006,5,"26,266   ","715,861   ","742,127   ","1,082,700   "
Illinois,2006,5,"296,710   ","6,191,538   ","6,488,248   ","9,665,568   "
Indiana,2006,5,"161,852   ","3,073,913   ","3,235,765   ","4,790,472   "
Iowa,2006,5,"59,563   ","1,595,166   ","1,654,729   ","2,288,903   "
Kansas,2006,5,"64,585   ","1,396,157   ","1,460,742   ","2,077,663   "
Kentucky,2006,5,"115,210   ","1,901,829   ","2,017,039   ","3,241,908   "
Louisiana,2006,5,"77,838   ","1,913,803   ","1,991,641   ","3,185,670   "
Maine,2006,5,"32,487   ","666,812   ","699,299   ","1,049,820   "
Maryland,2006,5,"125,567   ","2,855,605   ","2,981,172   ","4,289,562   "
Massachusetts,2006,5,"160,969   ","3,242,339   ","3,403,308   ","5,086,934   "
Michigan,2006,5,"355,061   ","4,706,902   ","5,061,963   ","7,761,618   "
Minnesota,2006,5,"112,780   ","2,769,759   ","2,882,539   ","3,965,924   "
Mississippi,2006,5,"79,716   ","1,195,081   ","1,274,797   ","2,145,215   "
Missouri,2006,5,"146,013   ","2,882,003   ","3,028,016   ","4,481,216   "
Montana,2006,5,"16,872   ","478,285   ","495,157   ","738,094   "
Nebraska,2006,5,"29,296   ","939,813   ","969,109   ","1,332,250   "
Nevada,2006,5,"52,470   ","1,230,505   ","1,282,975   ","1,875,961   "
New Hampshire,2006,5,"25,046   ","705,339   ","730,385   ","1,030,955   "
New Jersey,2006,5,"212,770   ","4,222,693   ","4,435,463   ","6,653,548   "
New Mexico,2006,5,"39,047   ","874,072   ","913,119   ","1,458,612   "
New York,2006,5,"444,317   ","9,093,999   ","9,538,316   ","15,085,944   "
New York city,2006,5,"194,009   ","3,636,814   ","3,830,823   ","6,462,117   "
North Carolina,2006,5,"223,862   ","4,217,778   ","4,441,640   ","6,700,727   "
North Dakota,2006,5,"11,226   ","350,121   ","361,347   ","493,588   "
Ohio,2006,5,"315,412   ","5,621,439   ","5,936,851   ","8,852,737   "
Oklahoma,2006,5,"65,707   ","1,644,742   ","1,710,449   ","2,686,494   "
Oregon,2006,5,"100,287   ","1,774,854   ","1,875,141   ","2,869,684   "
Pennsylvania,2006,5,"298,537   ","5,990,267   ","6,288,804   ","9,758,456   "
Rhode Island,2006,5,"30,561   ","540,727   ","571,288   ","837,393   "
South Carolina,2006,5,"150,946   ","1,992,605   ","2,143,551   ","3,296,309   "
South Dakota,2006,5,"12,693   ","418,628   ","431,321   ","596,155   "
Tennessee,2006,5,"166,091   ","2,842,377   ","3,008,468   ","4,683,186   "
Texas,2006,5,"590,193   ","10,726,117   ","11,316,310   ","16,950,545   "
Utah,2006,5,"39,497   ","1,286,032   ","1,325,529   ","1,828,395   "
Vermont,2006,5,"12,851   ","341,898   ","354,749   ","498,974   "
Virginia,2006,5,"131,560   ","3,834,431   ","3,965,991   ","5,779,056   "
Washington,2006,5,"166,814   ","3,152,061   ","3,318,875   ","4,903,582   "
West Virginia,2006,5,"41,669   ","762,671   ","804,340   ","1,439,305   "
Wisconsin,2006,5,"139,403   ","2,919,686   ","3,059,089   ","4,318,785   "
Wyoming,2006,5,"8,388   ","275,179   ","283,567   ","395,045   "
